"ISO Name";"Capacity Market Zone";"Capacity Commitment Period Start Date";"Capacity Commitment Period End Date";"Capacity Commitment Period Length";"Market";"Capacity Price $/MW-Day";"Awarded MW";"Capacity Market ISO ID";"Capacity Market ID"
"New England ISO";"MAINE";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"ANNUAL";"147.94520547";"3505.360000";"72673";"1324151"
"New England ISO";"MAINE";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"ANNUAL";"118.35616438";"3814.958000";"72673";"1324151"
"New England ISO";"MAINE";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"ANNUAL";"96.98630136";"3896.643000";"72673";"1324151"
"New England ISO";"MAINE";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"ANNUAL";"96.98630136";"4025.158000";"72673";"1324151"
"New England ISO";"MAINE";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"ANNUAL";"105.50136986";"3957.690000";"72673";"1324151"
"New England ISO";"REST OF POOL";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"ANNUAL";"147.94520547";"30571.890000";"72673";"1324152"
"New England ISO";"REST OF POOL";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"ANNUAL";"118.35616438";"33468.244000";"72673";"1324152"
"New England ISO";"REST OF POOL";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"ANNUAL";"96.98630136";"33098.959000";"72673";"1324152"
"New England ISO";"REST OF POOL";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"ANNUAL";"96.98630136";"33475.839000";"72673";"1324152"
"New England ISO";"REST OF POOL";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"ANNUAL";"105.50136986";"32960.371000";"72673";"1324152"
"New York ISO";"HQ";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"SPOT MONTH";"0.00000000";"0.000000";"72669";"851353"
"New York ISO";"HQ";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"SPOT MONTH";"0.00000000";"0.000000";"72669";"851353"
"New York ISO";"HQ";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"SPOT MONTH";"16.43835616";"249.582000";"72669";"851353"
"New York ISO";"HQ";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"SPOT MONTH";"9.86301369";"151.612000";"72669";"851353"
"New York ISO";"HQ";"6/1/2015 00:00";"1/5/2016 00:00";"ONE YEAR";"SPOT MONTH";"85.80821917";"0.000000";"72669";"851353"
