"Coal Price Point Name","Coal Price Point ID","UPI Zone","UPI Origin","Trade Date","Report Order","Prompt Period","Forward Period","Btu/Lb","lbs/SO2 Range","Average Forward Price $/ton","Coal Price Point ID"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/25/2012 00:00","2","PROMPT","2012-02","12000.000000","1.8","61.750000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/25/2012 00:00","3","PM+1","2012-03","12000.000000","1.8","62.000000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/25/2012 00:00","5","PQ","2012-Q2","12000.000000","1.8","62.300000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/25/2012 00:00","6","PQ+1","2012-Q3","12000.000000","1.8","64.100000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/25/2012 00:00","7","PQ+2","2012-Q4","12000.000000","1.8","65.800000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/25/2012 00:00","8","PQ+3","2013-Q1","12000.000000","1.8","67.800000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/25/2012 00:00","9","PQ+4","2013-Q2","12000.000000","1.8","69.800000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/25/2012 00:00","10","PQ+5","2013-Q3","12000.000000","1.8","71.350000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/25/2012 00:00","11","PQ+6","2013-Q4","12000.000000","1.8","72.650000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/25/2012 00:00","13","PY","2013-CY","12000.000000","1.8","70.400000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/25/2012 00:00","14","PY+1","2014-CY","12000.000000","1.8","75.750000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/25/2012 00:00","15","PY+2","2015-CY","12000.000000","1.8","77.750000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/24/2012 00:00","2","PROMPT","2012-02","12000.000000","1.8","60.800000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/24/2012 00:00","3","PM+1","2012-03","12000.000000","1.8","60.850000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/24/2012 00:00","5","PQ","2012-Q2","12000.000000","1.8","60.900000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/24/2012 00:00","6","PQ+1","2012-Q3","12000.000000","1.8","62.750000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/24/2012 00:00","7","PQ+2","2012-Q4","12000.000000","1.8","64.400000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/24/2012 00:00","8","PQ+3","2013-Q1","12000.000000","1.8","66.500000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/24/2012 00:00","9","PQ+4","2013-Q2","12000.000000","1.8","68.200000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/24/2012 00:00","10","PQ+5","2013-Q3","12000.000000","1.8","69.950000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/24/2012 00:00","11","PQ+6","2013-Q4","12000.000000","1.8","71.250000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/24/2012 00:00","13","PY","2013-CY","12000.000000","1.8","68.980000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/24/2012 00:00","14","PY+1","2014-CY","12000.000000","1.8","74.230000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/24/2012 00:00","15","PY+2","2015-CY","12000.000000","1.8","76.230000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/23/2012 00:00","2","PROMPT","2012-02","12000.000000","1.8","60.150000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/23/2012 00:00","3","PM+1","2012-03","12000.000000","1.8","60.150000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/23/2012 00:00","5","PQ","2012-Q2","12000.000000","1.8","60.250000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/23/2012 00:00","6","PQ+1","2012-Q3","12000.000000","1.8","61.750000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/23/2012 00:00","7","PQ+2","2012-Q4","12000.000000","1.8","63.350000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/23/2012 00:00","8","PQ+3","2013-Q1","12000.000000","1.8","65.500000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/23/2012 00:00","9","PQ+4","2013-Q2","12000.000000","1.8","67.300000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/23/2012 00:00","10","PQ+5","2013-Q3","12000.000000","1.8","69.150000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/23/2012 00:00","11","PQ+6","2013-Q4","12000.000000","1.8","70.550000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/23/2012 00:00","13","PY","2013-CY","12000.000000","1.8","68.120000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/23/2012 00:00","14","PY+1","2014-CY","12000.000000","1.8","73.130000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/23/2012 00:00","15","PY+2","2015-CY","12000.000000","1.8","75.130000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/20/2012 00:00","2","PROMPT","2012-02","12000.000000","1.8","59.350000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/20/2012 00:00","3","PM+1","2012-03","12000.000000","1.8","59.250000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/20/2012 00:00","5","PQ","2012-Q2","12000.000000","1.8","59.250000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/20/2012 00:00","6","PQ+1","2012-Q3","12000.000000","1.8","60.750000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/20/2012 00:00","7","PQ+2","2012-Q4","12000.000000","1.8","62.250000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/20/2012 00:00","8","PQ+3","2013-Q1","12000.000000","1.8","64.250000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/20/2012 00:00","9","PQ+4","2013-Q2","12000.000000","1.8","65.650000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/20/2012 00:00","10","PQ+5","2013-Q3","12000.000000","1.8","67.550000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/20/2012 00:00","11","PQ+6","2013-Q4","12000.000000","1.8","69.300000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/20/2012 00:00","13","PY","2013-CY","12000.000000","1.8","66.690000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/20/2012 00:00","14","PY+1","2014-CY","12000.000000","1.8","71.690000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/20/2012 00:00","15","PY+2","2015-CY","12000.000000","1.8","73.690000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/19/2012 00:00","2","PROMPT","2012-02","12000.000000","1.8","60.250000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/19/2012 00:00","3","PM+1","2012-03","12000.000000","1.8","60.150000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/19/2012 00:00","5","PQ","2012-Q2","12000.000000","1.8","60.000000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/19/2012 00:00","6","PQ+1","2012-Q3","12000.000000","1.8","61.350000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/19/2012 00:00","7","PQ+2","2012-Q4","12000.000000","1.8","62.750000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/19/2012 00:00","8","PQ+3","2013-Q1","12000.000000","1.8","64.400000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/19/2012 00:00","9","PQ+4","2013-Q2","12000.000000","1.8","66.150000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/19/2012 00:00","10","PQ+5","2013-Q3","12000.000000","1.8","67.900000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/19/2012 00:00","11","PQ+6","2013-Q4","12000.000000","1.8","69.550000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/19/2012 00:00","13","PY","2013-CY","12000.000000","1.8","67.000000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/19/2012 00:00","14","PY+1","2014-CY","12000.000000","1.8","72.000000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/19/2012 00:00","15","PY+2","2015-CY","12000.000000","1.8","74.000000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/18/2012 00:00","2","PROMPT","2012-02","12000.000000","1.8","61.500000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/18/2012 00:00","3","PM+1","2012-03","12000.000000","1.8","61.700000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/18/2012 00:00","5","PQ","2012-Q2","12000.000000","1.8","61.500000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/18/2012 00:00","6","PQ+1","2012-Q3","12000.000000","1.8","63.150000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/18/2012 00:00","7","PQ+2","2012-Q4","12000.000000","1.8","64.700000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/18/2012 00:00","8","PQ+3","2013-Q1","12000.000000","1.8","66.450000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/18/2012 00:00","9","PQ+4","2013-Q2","12000.000000","1.8","67.800000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/18/2012 00:00","10","PQ+5","2013-Q3","12000.000000","1.8","69.200000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/18/2012 00:00","11","PQ+6","2013-Q4","12000.000000","1.8","70.300000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/18/2012 00:00","13","PY","2013-CY","12000.000000","1.8","68.440000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/18/2012 00:00","14","PY+1","2014-CY","12000.000000","1.8","72.690000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/18/2012 00:00","15","PY+2","2015-CY","12000.000000","1.8","74.690000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/17/2012 00:00","2","PROMPT","2012-02","12000.000000","1.8","61.500000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/17/2012 00:00","3","PM+1","2012-03","12000.000000","1.8","61.500000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/17/2012 00:00","5","PQ","2012-Q2","12000.000000","1.8","61.150000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/17/2012 00:00","6","PQ+1","2012-Q3","12000.000000","1.8","62.800000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/17/2012 00:00","7","PQ+2","2012-Q4","12000.000000","1.8","64.450000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/17/2012 00:00","8","PQ+3","2013-Q1","12000.000000","1.8","66.150000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/17/2012 00:00","9","PQ+4","2013-Q2","12000.000000","1.8","67.550000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/17/2012 00:00","10","PQ+5","2013-Q3","12000.000000","1.8","68.900000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/17/2012 00:00","11","PQ+6","2013-Q4","12000.000000","1.8","70.000000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/17/2012 00:00","13","PY","2013-CY","12000.000000","1.8","68.150000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/17/2012 00:00","14","PY+1","2014-CY","12000.000000","1.8","72.150000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/17/2012 00:00","15","PY+2","2015-CY","12000.000000","1.8","74.150000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/16/2012 00:00","2","PROMPT","2012-02","12000.000000","1.8","63.000000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/16/2012 00:00","3","PM+1","2012-03","12000.000000","1.8","62.750000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/16/2012 00:00","5","PQ","2012-Q2","12000.000000","1.8","62.550000","625438"
"NYMEX Barge","625438","CAPP Coal","NYMEX","1/16/2012 00:00","6","PQ+1","2012-Q3","12000.000000","1.8","64.300000","625438"
